"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"7646","SPON2","ITGB2",11.1845238095238,7,429.940860215054,3,"other"
"7756","THBS1","ITGB1",28.6340782122905,1,167.807174887892,5,"other"
"1836","COL6A3","ITGA1",17.23125,6,278.79057591623,4,"other"
"2011","DUSP18","ITGA1",18.7096774193548,3,256.730941704036,5,"other"
"7301","PSEN1","NOTCH2",79.2600896860987,5,60.5952380952381,7,"other"
"7704","THBS1","CD47",13.828125,2,346.892376681614,5,"other"
"2755","GNAI2","ADCY7",95.8273809523809,8,50,3,"other"
"6158","LGALS3BP","ITGB1",26.2311827956989,3,182.529761904762,7,"other"
"7867","TNFSF10","TNFRSF10A",204.767857142857,8,23.3677130044843,5,"other"
"3443","GSTP1","TRAF2",142.3875,6,33.6021505376344,3,"other"
"7572","SEMA4D","CD72",217.386904761905,8,22.0059523809524,8,"other"
"7685","SPON2","ITGB2",8.44972067039106,1,564.890052356021,4,"other"
"7179","PSEN1","NCSTN",79.2600896860987,5,60.0977653631285,1,"other"
"2772","GNAI2","ADCY7",87.575,6,54.3541666666667,2,"other"
"448","ARF1","PLD2",446.240837696335,4,10.6666666666667,8,"other"
"6249","LRPAP1","LDLR",81.875,6,58.1047120418848,4,"other"
"242","ADAM17","ITGB1",33.7395833333333,2,140.963541666667,2,"other"
"7804","TIMP1","CD63",13.7258064516129,3,346.390134529148,5,"other"
"8240","TNF","TRAF2",70.2765363128492,1,67.6369047619048,7,"other"
"1728","CALR","ITGAV",374.4875,6,12.6860986547085,5,"other"
"7786","TIMP1","CD63",10.6412556053812,5,446.440476190476,7,"other"
"2779","GNAI2","ADCY7",94.9910313901345,5,50,3,"other"
"7757","THBS1","ITGB1",28.6340782122905,1,165.680628272251,4,"other"
"6735","MFNG","NOTCH2",78.2916666666667,2,60.5952380952381,7,"other"
"2538","FASLG","TNFRSF1A",64.2262569832402,1,73.8630952380952,7,"other"
"3449","GSTP1","TRAF2",114.681614349776,5,41.322869955157,5,"other"
"2027","DUSP18","ITGA1",18.4581005586592,1,256.730941704036,5,"other"
"6131","LGALS3BP","ITGB1",33.6071428571429,7,140.963541666667,2,"other"
"2757","GNAI2","ADCY7",95.8273809523809,8,49.3938547486034,1,"other"
"6622","MFNG","NOTCH1",121.095238095238,8,39.0773809523809,8,"other"
"2754","GNAI2","ADCY7",95.8273809523809,8,49.3560209424084,4,"other"
"8452","UBA52","TGFBR2",60.9005235602094,4,77.5913978494624,3,"other"
"3458","GSTP1","TRAF2",122.801047120419,4,38.4712041884817,4,"other"
